,city,latitude,longitude,temperature,humidity,cloudiness,wind,description,country
86,najran,17.49,44.13,75.2,22,24,3.36,few clouds,SA
87,port antonio,18.18,-76.46,87.8,70,20,8.05,few clouds,JM
88,sura,53.89,45.74,43.61,86,64,11.03,broken clouds,RU
89,porto novo,6.5,2.6,78.8,88,40,11.41,scattered clouds,BJ
90,lebu,-37.62,-73.65,51.64,75,0,18.59,clear sky,CL
91,tezu,27.92,96.17,80.69,56,70,3.0,broken clouds,IN
92,flinders,-34.58,150.86,63.0,90,100,1.99,heavy intensity rain,AU
93,qaqortoq,60.72,-46.03,33.8,69,5,5.82,clear sky,GL
94,saint george,37.1,-113.58,96.8,11,1,18.34,clear sky,US
95,kamenka,51.32,42.77,45.0,89,27,7.92,scattered clouds,RU
96,ribeira grande,38.52,-28.7,70.29,79,60,21.18,broken clouds,PT
97,muzaffarabad,34.37,73.47,69.44,32,0,6.13,clear sky,PK
98,manali,13.17,80.27,78.8,88,75,3.36,mist,IN
99,beira,-19.84,34.84,71.38,83,0,6.26,clear sky,MZ
100,kenai,60.55,-151.26,55.99,66,40,9.17,scattered clouds,US
101,upernavik,72.79,-56.15,31.12,97,100,10.27,overcast clouds,GL
102,chuy,-33.7,-53.46,44.51,64,27,7.9,scattered clouds,UY
103,bam,29.11,58.36,70.72,20,0,8.84,clear sky,IR
104,souillac,-20.52,57.52,71.6,73,40,12.75,scattered clouds,MU
105,portland,45.52,-122.68,73.0,60,75,9.17,broken clouds,US
106,aden,12.78,45.04,88.3,67,66,10.49,broken clouds,YE
107,eyl,7.98,49.82,77.32,77,49,22.97,scattered clouds,SO
108,goderich,43.75,-81.72,61.0,58,2,6.35,clear sky,CA
109,nome,64.5,-165.41,46.99,81,90,17.22,overcast clouds,US
110,mayumba,-3.43,10.66,74.89,88,99,10.25,light rain,GA
111,magnitogorsk,53.42,59.05,53.6,40,75,8.95,broken clouds,RU
112,tiksi,71.69,128.87,41.86,74,34,11.61,scattered clouds,RU
113,harlingen,26.19,-97.7,86.0,55,75,14.99,broken clouds,US
114,leningradskiy,69.38,178.42,36.19,82,97,6.44,overcast clouds,RU
115,isangel,-19.55,169.27,74.8,63,44,13.78,scattered clouds,VU
116,yumen,40.28,97.2,52.05,42,24,10.65,few clouds,CN
117,tibati,6.47,12.63,65.95,97,94,3.09,overcast clouds,CM
118,nagato,34.38,131.2,69.8,72,20,3.36,few clouds,JP
119,tuatapere,-46.13,167.68,53.01,74,4,3.0,clear sky,NZ
120,bathsheba,13.22,-59.52,82.4,78,20,11.41,few clouds,BB
121,shimoda,34.67,138.95,69.01,83,84,10.69,broken clouds,JP
122,nioro,13.35,-15.75,75.56,95,99,2.37,overcast clouds,GM
123,arraial do cabo,-22.97,-42.03,74.01,82,84,6.46,light rain,BR
124,kyaukse,21.6,96.13,84.2,74,75,4.7,broken clouds,MM
125,high level,58.52,-117.14,64.4,68,5,3.42,smoke,CA
126,evensk,61.95,159.23,43.88,72,89,14.25,overcast clouds,RU
127,alcudia,39.85,3.12,72.0,78,0,3.36,clear sky,ES
128,arlit,18.74,7.39,93.54,13,0,16.35,clear sky,NE
129,kodiak,57.79,-152.41,48.2,87,90,13.87,light rain,US
130,mala,-12.66,-76.63,64.02,73,18,5.32,few clouds,PE
131,popondetta,-8.75,148.25,85.44,57,22,3.53,few clouds,PG
132,olovyannaya,50.95,115.57,44.91,64,98,5.03,overcast clouds,RU
133,shujalpur,23.4,76.72,75.9,89,96,5.75,overcast clouds,IN
134,namibe,-15.2,12.15,60.57,84,72,3.8,broken clouds,AO
135,fergus falls,46.28,-96.08,71.01,52,1,13.87,clear sky,US
136,manadhoo,5.77,73.38,82.0,78,100,14.41,light rain,MV
137,hangal,14.77,75.13,70.23,98,100,3.15,light rain,IN
138,qaanaaq,77.48,-69.36,16.79,81,97,6.69,overcast clouds,GL
139,vila velha,-20.33,-40.29,79.0,73,0,16.11,clear sky,BR
140,savannah bight,16.45,-85.85,85.19,75,100,11.52,overcast clouds,HN
141,palmer,42.16,-72.33,54.0,50,20,3.36,few clouds,US
142,victoria,22.29,114.16,82.99,84,1,10.13,clear sky,HK
143,huilong,31.81,121.66,73.0,80,100,4.16,light rain,CN
144,kaitangata,-46.28,169.85,55.0,60,42,5.01,moderate rain,NZ
145,chhachhrauli,30.25,77.37,75.54,79,0,2.19,clear sky,IN
146,gonbad-e qabus,37.25,55.17,75.2,83,0,5.3,clear sky,IR
147,dunedin,-45.87,170.5,50.0,71,25,8.01,scattered clouds,NZ
148,gambela,8.25,34.58,69.64,88,100,4.25,overcast clouds,ET
149,sao filipe,14.9,-24.5,78.42,82,14,3.36,few clouds,CV
150,roma,43.21,-75.46,53.6,40,40,8.05,scattered clouds,US
151,nabire,-3.37,135.48,76.98,87,97,3.53,light rain,ID
152,kahului,20.89,-156.47,89.6,52,40,28.86,scattered clouds,US
153,manokwari,-0.87,134.08,81.79,68,100,4.0,light rain,ID
154,komsomolskiy,40.43,71.72,53.6,62,0,6.93,clear sky,UZ
155,nikolskoye,59.7,30.79,48.2,70,1,11.18,clear sky,RU
