City_ID,city,country,temperature,description,latitude,longitude,Hotel Name
101,lianzhou,CN,75.15,overcast clouds,24.78,112.38,Qingcheng Tourism Industry
103,cleveland,US,66.2,scattered clouds,41.5,-81.7,Cleveland Marriott Downtown at Key Tower
105,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
106,albany,US,78.01,scattered clouds,42.6,-73.97,
107,arlit,NE,86.56,light rain,18.74,7.39,Hôtel Telwa Bungalow
109,albany,US,78.01,scattered clouds,42.6,-73.97,
110,pisco,PE,64.99,scattered clouds,-13.7,-76.22,Hostal San Isidro Oficial
111,kahului,US,82.4,few clouds,20.89,-156.47,Maui Seaside Hotel
112,namatanai,PG,79.18,clear sky,-3.67,152.43,Namatanai Hotel
113,fortuna,US,86.0,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
114,castro,BR,80.65,few clouds,-24.79,-50.01,CHACARA BAILLY
115,lagoa,PT,70.07,scattered clouds,39.05,-27.98,Casa Das Faias
116,florianopolis,BR,69.01,moderate rain,-27.61,-48.5,Hotel Boutique Quinta das Videiras
117,vila velha,BR,81.0,clear sky,-20.33,-40.29,Hotel Vitória Palace
119,lebu,CL,53.6,broken clouds,-37.62,-73.65,Hostal Las Lilas
120,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
121,port alfred,ZA,62.04,clear sky,-33.59,26.89,The Halyards Hotel
123,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
124,kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
127,los llanos de aridane,ES,77.0,few clouds,28.66,-17.92,Valle Aridane
128,leisure city,US,84.2,overcast clouds,25.5,-80.43,Hampton Inn & Suites Miami-South/Homestead
130,rikitea,PF,73.18,clear sky,-23.12,-134.97,Pension Maro'i
132,oistins,BB,87.8,scattered clouds,13.07,-59.53,Butterfly Beach Hotel
134,vila,PT,78.01,scattered clouds,42.03,-8.16,Hotel Castrum Villae
135,andros,GR,81.0,clear sky,37.83,24.93,Micra Anglia Hotel - Andros
137,mao,ES,66.2,few clouds,39.89,4.27,ARTIEM Capri
140,vaini,TO,68.0,broken clouds,-21.2,-175.2,Keleti Beach Resort
141,bredasdorp,ZA,60.8,clear sky,-34.53,20.04,Bredasdorp Country Manor
142,cayenne,GF,89.6,light rain,4.93,-52.33,Hôtel Le Dronmi
143,atuona,PF,78.87,few clouds,-9.8,-139.03,Villa Enata
145,honiara,SB,73.4,few clouds,-9.43,159.95,Heritage Park Hotel
146,hilo,US,80.6,few clouds,19.73,-155.09,Hilo Hawaiian Hotel
147,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
148,bartica,GY,77.0,thunderstorm,6.4,-58.62,La Vista Hotel and Apartment
150,hithadhoo,MV,82.9,overcast clouds,-0.6,73.08,Scoop Guest House
152,ornskoldsvik,SE,53.6,scattered clouds,63.29,18.72,First Hotel Statt
153,faanui,PF,77.79,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
154,bethel,US,78.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
155,nikolskoye,RU,55.4,broken clouds,59.7,30.79,Tourist House - Sablino
157,avarua,CK,73.4,few clouds,-21.21,-159.78,Paradise Inn
